p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells,Z_eff,C_per_state,Z_per_state,S_per_state,Z_per_C2,min_pq,max_pq,mixing_index,symmetry_index,rep_type,score_zps,score_packing,score_mixing,score_zc2,score_lowdim,composite_score
1,1,8,3.0,0.958255969892403,0.319418656630801,0.0762555871778472,364.22361514287854,349.0194535864564,3.141592653589793,0.0,1.111111111111111,0.3591167563851109,0.2558898194838994,3,0.958255969892403,45.52795189285982,0.11978199623655038,43.62743169830705,0.319418656630801,1,1,1,0,mixed,6.298454145455611,2.988695504829372,0.0625,6.185749787743419,0.5555555555555556,3.9887956396913653
2,1,15,5.333333333333333,0.5135609002567574,0.096292668798142,0.0408678779272933,588.741535963731,302.3546332280798,2.2183730905842123,0.5330210632224008,2.25,0.5788843195523021,0.3398465760917642,4,0.5135609002567574,39.2494357309154,0.03423739335045049,20.156975548538654,0.09629266879814201,1,2,2,1,mixed,1.6890885237446787,1.4548588334799937,0.125,1.718171852367666,0.4,1.2632449413609848
1,2,15,5.333333333333333,0.3592316857799466,0.0673559410837399,0.0285867492535565,588.741535963731,211.49461445292616,2.2183730905842123,0.533021063222401,2.25,0.5788843195523021,0.3398465760917643,4,0.3592316857799466,39.2494357309154,0.02394877905199644,14.09964096352841,0.06735594108373999,1,2,2,1,mixed,1.1347112346773451,1.4548588334799937,0.125,1.1387813137998577,0.4,0.9662014735359725
0,1,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926,1.0,0.0112884779000835,0,1,0,1,pure,0.11462321394511549,3.027524230788446,0.0,0.016161022703795175,0.7692307692307692,0.7579443071632208
1,0,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926,1.0,0.0112884779000835,0,1,0,1,pure,0.11462321394511549,3.027524230788446,0.0,0.016161022703795175,0.7692307692307692,0.7579443071632208
2,2,27,8.0,0.5535987838894781,0.0691998479861847,0.0440539914728361,892.587592802737,494.1354058904319,1.6755160819145565,0.7695298980971185,2.368888888888889,0.71221877151344,0.3763420124847685,5,0.5535987838894781,33.058799733434704,0.020503658662573265,18.301311329275254,0.06919984798618477,2,2,4,0,mixed,0.9490791906919861,0.5242698556303411,0.25,1.1757012524957822,0.27027027027027023,0.7255210587998394
0,2,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166,1.1620226591665965,0.00592313648250477,0,2,0,2,pure,0.021596526340444726,2.506871327683819,0.0,0.0912674358355552,0.625,0.6195860111642193
2,0,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166,1.1620226591665965,0.00592313648250477,0,2,0,2,pure,0.021596526340444726,2.506871327683819,0.0,0.0912674358355552,0.625,0.6195860111642193
3,1,24,8.333333333333334,0.3104922707720668,0.037259072492648,0.0247081898426008,893.9955200572068,277.57869908261694,1.7296997860058003,0.7320044457068667,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720668,37.24981333571695,0.012937177948836117,11.565779128442372,0.03725907249264802,1,3,3,2,mixed,0.5413775367878109,0.3204545397174865,0.1875,0.5361616577591233,0.29411764705882354,0.41186659498689215
1,3,24,8.333333333333334,0.3104922707720667,0.037259072492648,0.0247081898426008,893.9955200572068,277.5786990826169,1.7296997860058003,0.7320044457068666,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720667,37.24981333571695,0.012937177948836113,11.56577912844237,0.037259072492648,1,3,3,2,mixed,0.5413775367878106,0.3204545397174865,0.1875,0.5361616577591231,0.29411764705882354,0.41186659498689204
